date,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
19790101,7.0,52.0,2.3,-4.1,-7.5,0.4,101900.0,9.0
19790102,1.7,27.0,1.6,-2.6,-7.5,0.0,102530.0,8.0
19790103,0.0,13.0,1.3,-2.8,-7.2,0.0,102050.0,4.0
19790104,0.0,13.0,-0.3,-2.6,-6.5,0.0,100840.0,2.0
19790105,2.0,29.0,5.6,-0.8,-1.4,0.0,102250.0,1.0
19790106,3.8,39.0,8.3,-0.5,-6.6,0.7,102780.0,1.0
19790107,0.0,13.0,8.5,1.5,-5.3,5.2,102520.0,0.0
19790108,0.1,15.0,5.8,6.9,5.3,0.8,101870.0,0.0
19790109,5.8,50.0,5.2,3.7,1.6,7.2,101170.0,0.0
19790110,1.9,30.0,4.9,3.3,1.4,2.1,98700.0,0.0
19790111,6.8,55.0,2.9,2.6,0.3,2.3,98960.0,0.0
19790112,6.4,54.0,2.0,0.4,-2.0,0.0,100650.0,1.0
19790113,7.0,57.0,4.3,-2.6,-7.1,0.0,102350.0,1.0
19790114,0.0,14.0,6.7,-0.6,-5.6,0.8,102700.0,1.0
19790115,0.0,15.0,5.9,3.8,1.0,0.1,102990.0,0.0
19790116,0.0,15.0,2.6,5.0,4.1,3.9,103100.0,0.0
19790117,0.0,15.0,1.9,2.1,1.6,2.5,102220.0,0.0
19790118,0.0,15.0,3.0,0.8,-0.2,0.2,101860.0,0.0
19790119,0.0,16.0,7.2,0.8,-1.4,5.2,100910.0,0.0
19790120,0.0,16.0,3.5,3.1,-1.0,0.0,100920.0,0.0
19790121,0.0,16.0,1.5,0.0,-3.5,0.1,102170.0,0.0
19790122,0.0,16.0,0.3,-0.2,-1.8,6.2,101680.0,0.0
19790123,0.0,17.0,2.9,-1.0,-2.3,1.0,100970.0,6.0
19790124,4.8,54.0,5.6,-1.4,-5.6,1.4,101010.0,6.0
19790125,0.0,17.0,2.8,0.6,-4.5,5.3,99660.0,1.0
19790126,2.6,42.0,1.6,0.8,-1.1,0.1,99280.0,1.0
19790127,2.1,39.0,4.5,-1.8,-5.2,0.0,99770.0,0.0
19790128,3.1,47.0,4.8,0.0,-4.4,7.5,99470.0,0.0
19790129,1.0,31.0,4.0,1.9,-1.0,4.4,98920.0,0.0
19790130,0.8,30.0,7.3,0.7,-2.6,0.1,100070.0,0.0
19790131,1.6,38.0,9.1,2.1,-3.1,2.4,101390.0,0.0
19790201,0.0,19.0,4.0,5.2,1.2,10.1,99490.0,0.0
19790202,1.4,37.0,5.9,2.8,1.5,0.0,99890.0,0.0
19790203,8.7,85.0,4.5,0.9,-4.1,0.0,100770.0,0.0
19790204,0.1,23.0,6.0,1.6,-1.2,0.0,100060.0,0.0
19790205,0.8,33.0,4.0,3.7,1.4,0.0,100250.0,0.0
19790206,6.8,78.0,6.8,1.2,-1.6,9.0,101020.0,0.0
19790207,0.0,21.0,3.7,3.3,-0.2,0.4,99450.0,0.0
19790208,1.9,45.0,4.0,2.0,0.3,0.0,100740.0,0.0
19790209,0.0,22.0,3.5,2.4,0.8,0.0,100310.0,0.0
19790210,0.0,23.0,2.9,2.8,2.1,0.0,99730.0,0.0
19790211,0.0,23.0,5.4,2.4,1.9,4.4,99170.0,0.0
19790212,0.1,27.0,8.1,2.8,0.3,6.7,98430.0,1.0
19790213,0.0,24.0,0.2,4.2,0.3,9.1,98130.0,0.0
19790214,2.4,54.0,-0.8,-0.2,-0.7,0.0,99380.0,1.0
19790215,0.0,25.0,0.6,-2.2,-3.7,0.1,100830.0,0.0
19790216,0.0,25.0,-0.8,-1.2,-3.1,0.0,102270.0,1.0
19790217,0.0,26.0,0.7,-1.2,-1.5,0.0,102180.0,0.0
19790218,0.0,26.0,1.9,-0.6,-1.8,0.0,101970.0,0.0
19790219,0.0,27.0,2.8,0.5,-0.9,0.1,102530.0,0.0
19790220,0.0,27.0,3.6,1.6,0.3,0.0,103010.0,0.0
19790221,0.0,28.0,7.4,2.1,0.6,0.6,102640.0,0.0
19790222,2.6,63.0,8.7,4.3,1.2,1.8,102790.0,0.0
19790223,7.4,104.0,5.5,4.4,0.2,0.0,103430.0,0.0
19790224,1.9,58.0,6.9,2.9,0.3,0.0,104130.0,0.0
19790225,8.1,112.0,6.7,1.8,-3.4,0.0,104270.0,0.0
19790226,4.2,82.0,8.9,1.6,-3.4,0.0,103590.0,0.0
19790227,4.4,85.0,6.1,3.7,-1.5,0.8,102090.0,0.0
19790228,2.1,64.0,9.7,4.4,2.7,0.9,100040.0,0.0
19790301,6.4,115.0,11.9,3.5,-2.7,0.2,101100.0,0.0
19790302,0.0,35.0,12.6,6.8,1.6,0.0,101640.0,0.0
19790303,0.1,40.0,10.5,11.0,9.4,5.3,101850.0,0.0
19790304,8.7,140.0,11.0,7.4,4.3,0.0,102410.0,0.0
